organization_name,organization_headquarters,organization_site,organization_description,link,partner_type
Caisse de dépôt et placement du Québec (CDPQ),Canada,http://www.cdpq.com/,Created in 1965  Caisse de dépôt et placement du Québec (CDPQ) is a long-term institutional investor that manages funds primarily for public and parapublic pension and insurance plans. It has $390 billion in net assets. As one of Canada’s leading institutional fund managers  CDPQ invests globally in major financial markets  private equity  infrastructure  real estate and private debt.,https://www.weforum.org/organizations/caisse-de-depot-et-placement-du-quebec,partnership
Canica Holding,Switzerland,http://www.canica.no/,Canica is a holding and investment company wholly owned by Stein Hagen and family. Its operations are focused on active  long-term ownership  primarily within sectors covering manufacturing  fast-moving consumer goods  retail and real estate. It is focused on creating long-term value through the ownership of companies with international potential. Its major holdings include Orkla  a Norwegian industrial group  retail companies  real estate and private equity.,https://www.weforum.org/organizations/canica-holding,partnership
Cantor Fitzgerald,USA,http://www.cantor.com/,Cantor Fitzgerald is a global financial services firm serving the equity and fixed income capital markets and one of 21 primary dealers authorized to trade with the US Federal Reserve. Its affiliates include Cantor Commercial Real Estate and BGC Partners. Through the Relief Fund  it provided over $180 million to help families of the 658 of its 960 New York employees who perished on September 11  2001. Its annual Charity Day has provided over $101 million to charities worldwide.,https://www.weforum.org/organizations/cantor-fitzgerald-lp,partnership
Canyon Partners,USA,http://www.canyonpartners.com/,Canyon Partners is a leading global alternative asset management firm headquartered in Los Angeles  California. Canyon specializes in value-oriented investments for endowments  foundations  pension funds and other institutional investors. Its investment strategies focus on distressed loans  corporate bonds  convertible bonds  securitized assets  direct investments  real estate  arbitrage and value equities. Its Canyon Value Realization Fund twice received Institutional Investors "Credit-Focused Hedge Fund Manager of the Year" award. The Canyon Structured Asset Fund received Institutional Investors "Hybrid Hedge Fund of the Year" award.,https://www.weforum.org/organizations/canyon-partners-llc,partnership
Cargill,USA,http://www.cargill.com/,Cargill provides food  agriculture  financial and industrial products and services to the world. Together with farmers  customers  governments and communities  it helps people thrive by applying its insights and 150 years of experience. It has 149 000 employees in 70 countries who are committed to feeding the world in a responsible way  reducing environmental impact and improving the communities where they live and work.,https://www.weforum.org/organizations/cargill-incorporated,partnership
Carlsberg Group,Denmark,http://www.carlsberggroup.com/,Carlsberg Group is the fourth largest brewer in the world  with more than 40 000 employees and a portfolio of more than 140 beer and beverage brands. The flagship brand  Carlsberg  is among the best-known beer brands in the world  while Baltika is one of the biggest beer brands in Europe by volume. The company was founded in 1847 on a passion for science and quality; the group remains committed to growing responsibly.,https://www.weforum.org/organizations/carlsberg-a-s,partnership
Carlyle,USA,http://www.carlyle.com/,Founded in 1987 in Washington DC  Carlyle has grown into one of the worlds largest and most successful investment firms  with more than 1 800 professionals operating in 30 offices in Asia  Australia  Europe  Japan  the Middle East  Latin America and North America.,https://www.weforum.org/organizations/the-carlyle-group,partnership
CF Industries Holdings,USA,http://www.cfindustries.com/,CF Industries Holdings is a global leader in the manufacturing and distribution of agricultural fertilisers. CF Industries operates manufacturing complexes in Canada  the United Kingdom and the United States  and distributes plant nutrients through a system of terminals  warehouses and associated transportation equipment located primarily in the Midwestern United States. In fiscal year 2020  CF Industries generated $4.12 billion in revenue.,https://www.weforum.org/organizations/cf-industries-holdings-inc,partnership
Check Point Software Technologies,Israel,http://www.checkpoint.com/,Check Point Software Technologies is a leading provider of cybersecurity solutions to governments and corporate enterprises globally. Its solutions protect customers from fifth-generation cyberattacks  with an industry-leading catch rate of malware  ransomware and other types of attacks. It offers multilevel security architecture  “Infinity” Total Protection with Gen V advanced threat prevention  which defends information held in enterprise clouds  networks and mobile devices. Check Point’s one point of control security management system is comprehensive and intuitive. The company protects 100 000 organizations of all sizes.,https://www.weforum.org/organizations/check-point-software-technologies,partnership
Chegg,USA,https://www.chegg.com/,Chegg puts students first. As a leading student-first connected learning platform  Chegg strives to improve the overall return on investment in education by helping students learn more in less time and at a lower cost. Chegg is a publicly-held company based in Santa Clara  California  and trades on the New York Stock Exchange under the symbol CHGG.,https://www.weforum.org/organizations/chegg,partnership
China Energy Investment,Peoples Republic of China,http://www.cgdc.com.cn/,China Energy has CNY1.8 trillion in assets and a staff of 350 000 employees. As of the end of 2017  its coal production capacity reached 480 million tonnes and total installed capacity for power hit 226 GW  including 175 GW from thermal power  accounting for around 15% of the national total. It is capable of turning millions of tonnes of coal directly and indirectly into liquid fuels. The company operates a network of railways with a total length of 2 155 kilometres  62 ships and ports with a designed handling capacity of 247 million tonnes.,https://www.weforum.org/organizations/china-guodian-corporation,partnership
China Huaneng Group,Peoples Republic of China,http://www.chng.com.cn/eng/,China Huaneng Group (CHNG) is a large state-owned enterprise with the power industry as its core business.,https://www.weforum.org/organizations/china-huaneng-group-chng,partnership
China Petrochemical Corporation (Sinopec Group),Peoples Republic of China,http://www.sinopec.com/,China Petrochemical Corporation (Sinopec Group) is Chinas leading integrated energy and chemical company. Its activities include oil and gas exploration and production  oil refining  petrochemicals and chemical products  and the import and export of crude oil  natural gas  refining oil products and chemicals. It is Chinas second largest oil and gas producer and the largest refiner and distributor of refined products and chemicals. It is listed on the Hong Kong  London  New York and Shanghai stock exchanges.,https://www.weforum.org/organizations/china-petrochemical-corporation-sinopec-group,partnership
Circle Internet Financial,USA,http://www.circle.com/,Circle is a global financial technology firm that enables businesses of all sizes to harness the power of cryptocurrency and public blockchains for payments and commerce worldwide. Circle is a pioneer of the fastest growing fiat-currency backed stablecoin  USD Coin.,https://www.weforum.org/organizations/circle-internet-financial,partnership
CITIC Group,Peoples Republic of China,http://www.citic.com/,CITIC  one of Chinas largest conglomerates  is supervised by the Ministry of Finance of the Peoples Republic of China. It is a constituent of the Hang Seng Index. Its focus is primarily on financial services  resources and energy  manufacturing  engineering contracting and real estate. As of 31 December 2019  CITIC had total assets of HK$8.29 trillion and total ordinary shareholder funds of over HK$591 billion.,https://www.weforum.org/organizations/citic-group,partnership
Clariant,Switzerland,http://www.clariant.com/,Clariant is a global speciality chemicals company.,https://www.weforum.org/organizations/clariant-international-ltd,partnership
Compagnie Financière Tradition,Switzerland,http://www.tradition.com/,,https://www.weforum.org/organizations/compagnie-financiere-tradition,partnership
Consolidated Contractors Company (CCC),Greece,http://www.ccc.gr/,Established in 1952  Consolidated Contractors Company (CCC) is an international contracting company with offices in the Middle East  Africa and the Commonwealth of Independent States  and related investments in Europe and the US. It has 120 000 employees and revenues of $5 billion annually. CCC is active in engineering and construction work for oil and gas  petrochemicals  industrial plants  civil and municipal works  and high-quality building.,https://www.weforum.org/organizations/consolidated-contractors-company-ccc,partnership
Corficolombiana,Colombia,http://www.corficolombiana.com/,Corficolombiana is one of the main investment banks in Colombia (and Peru)  with a portfolio of more than COP2 trillion in fixed income. It also participates in the public debt market creators’ scheme in Colombia. Corficolombiana invests in capital-intensive sectors with a high growth possibility and positive impact on the country (infrastructure and energy and gas  mainly  but also  agroindustry and hotels).,https://www.weforum.org/organizations/corficolombiana,partnership
CP Group,Thailand,https://www.cpgroupglobal.com/,Charoen Pokphand Group (CP Group) is among the largest conglomerates in Thailand and in the world  with $65 billion in revenue. It is active in: agribusiness  including animal feed production  vertical livestock integration  crop integration  aquaculture and food processing; telecommunications and e-commerce; insurance and healthcare; the automotive industry.,https://www.weforum.org/organizations/charoen-pokphand-group,partnership
Crescent Enterprises,United Arab Emirates,http://www.crescententerprises.com/,Crescent Enterprises (CE) is a diversified conglomerate headquartered in the United Arab Emirates that operates across four verticals. CE-Operates spans the ports and logistics  power and engineering  and business aviation sectors. CE-Invests maintains an investment portfolio including private equity  venture capital  real estate and other structured assets. CE-Creates develops early-stage concepts into economically viable and scalable businesses with a significant social impact. CE-Ventures is its corporate venture capital arm. Crescent Enterprises employs over 4 500 people in 20 countries on five continents. It is a subsidiary of the Crescent Group.,https://www.weforum.org/organizations/crescent-enterprises,partnership
Crescent Petroleum,United Arab Emirates,http://www.crescentpetroleum.com/,Crescent Petroleum  one of the oldest private oil and gas companies in the Middle East  has over 40 years of experience as an international operator in countries including Egypt  Pakistan  Yemen  Canada  Montenegro  Tunisia  Argentina  the United Arab Emirates and Iraq. Headquartered in Sharjah  United Arab Emirates  Crescent Petroleum has international offices in the United Kingdom and three locations across Iraq  and affiliated offices in Egypt and Bahrain. Crescent Petroleum is the core company in the Crescent Group  a family business now in its fifth decade and including interests across five continents in port management  logistics  contracting  private equity and real estate.,https://www.weforum.org/organizations/crescent-petroleum,partnership
CVC Capital Partners (Luxembourg),United Kingdom,http://www.cvc.com/,CVC Capital Partners (CVC) is a leading private equity and investment advisory firm. Founded in 1981  today CVC has a network of more than 20 offices and over 300 employees throughout Europe  Asia and the US. CVC currently manages funds on behalf of over 300 investors from North America  Europe  Asia and the Middle East. To date  CVC has secured commitments of $71 billion in funds from a diverse investor base across European and Asia-Pacific private equity funds and credit funds.,https://www.weforum.org/organizations/cvc-capital-partners-luxembourg-sarl,partnership
CVS Health,USA,http://www.cvshealth.com/,CVS Health is a healthcare innovation company with assets including: retail pharmacies  retail clinics  prescription benefits management  infusion services  specialty pharmacy  clinical programmes  medical claims editing  and long-term care pharmacies. It has 9 900 retail locations  1 100 walk-in medical clinics  a pharmacy benefits manager with 94 million plan members  a dedicated senior pharmacy care business serving 1 million patients yearly  and expanding specialty pharmacy services. CVS Health also serves 38 million people through traditional  voluntary and consumer-directed health insurance products and related services. Aetna  a CVS Health business  serves 39 million people  offering health insurance products and related services.,https://www.weforum.org/organizations/cvs-caremark-corporation,partnership
Daiwa Securities Group,Japan,http://www.daiwa-grp.jp/ir/english/index.cfm,Founded in 1902  the Daiwa Securities Group is one of the largest independent  full-service securities groups in Japan. Through its global network  the group provides a broad range of financial services to its clients  including wealth management and support for corporate business operations. Its core business includes brokerage  development and distribution of financial products (including equity  bonds and derivatives)  underwriting of equity  bond and other securities  merger and acquisition advisory services  asset management  and principal investment. It has operational bases around the world  including in Japan  the United States  Europe  Asia and Oceania. About 16 000 employees work for group companies worldwide.,https://www.weforum.org/organizations/daiwa-securities-group,partnership
Dallas Fort Worth International Airport,USA,http://www.dfwairport.com/,Dallas Fort Worth International Airport  also known as DFW Airport  is the primary international airport serving the Dallas–Fort Worth area in the US state of Texas. The airport was the fourth-busiest airport by passenger traffic in the world in 2020.,https://www.weforum.org/organizations/dallas-fort-worth-international-airport,partnership
Dalmia Bharat Group,India,https://www.dalmiabharat.com/,Founded more than 80 years ago  Dalmia Bharat Group is a leader in core sectors such as cement  refractories and sugar. The cement business  through sustainability initiatives  has one of the lowest carbon footprints in the cement sector globally and is among the most efficient cement companies worldwide. The sugar business  a leading sugar producer  is geographically diversified and committed to green growth. Traditionally present in southern  eastern  northern and north-eastern India  the group  through its refractories business  has expanded its footprint globally by acquiring businesses in Germany and other European countries.,https://www.weforum.org/organizations/dalmia-bharat-limited,partnership
Danfoss,Denmark,http://www.danfoss.com/,Danfoss has been a global leader in energy-efficiency solutions for nearly a century. As a major original equipment manufacturer in heating  cooling  drives  hydraulics and inverters worldwide  Danfoss provides both the components necessary to improve comfort and sustainability in buildings  agriculture  food  infrastructure and renewable energy generation  as well as total solutions for cities  including district heating and cooling. The company employs around 24 000 people  has more than 100 sales companies globally  and has production sites in 17 countries.,https://www.weforum.org/organizations/danfoss-a-s,partnership
Dassault Systèmes,France,http://www.3ds.com/,Dassault Systèmes provides businesses and people with virtual universes to imagine sustainable innovations. Its 3DExperience platform leverages the companys 3D software applications to transform the way products are designed  produced and supported  enabling businesses to craft delightful customer experiences. Its customers create social enterprises that involve their clients in the innovation process. The 3DExperience environment helps businesses test and evaluate – anywhere in the development life cycle of a product or service – the experience they will deliver to their customers.,https://www.weforum.org/organizations/dassault-systemes,partnership
Depository Trust and Clearing (DTCC),USA,http://www.dtcc.com/,With 50 years of experience  The Depository Trust and Clearing Corporation (DTCC) is a post-trade market infrastructure for the global financial services industry. From 20 locations worldwide  DTCC automates  centralizes and standardizes the processing of financial transactions. Industry-owned and governed  the firm simplifies clearing  settlement  asset servicing  data management  data reporting and information services. In 2022  DTCC’s subsidiaries processed securities transactions valued at $2.5 quadrillion. Its depository provides custody and asset servicing for securities issues from over 150 countries and territories valued at $72 trillion. DTCC’s Global Trade Repository service  through locally registered  licensed or approved trade repositories  processes 17.5 billion messages annually.,https://www.weforum.org/organizations/the-depository-trust-clearing-corporation-dtcc,partnership
Development Bank of Japan (DBJ),Japan,http://www.dbj.jp/,Development Bank of Japan (DBJ)  established by the Japanese Government  works on a commercial basis for Japans economic and social development. DBJ provides diverse and specialized financial services through equity  lending and advisory services.,https://www.weforum.org/organizations/development-bank-of-japan-dbj,partnership
Development Bank of Southern Africa,South Africa,http://www.dbsa.org/,The Development Bank of Southern Africa (DBSA) is one of the leading development financial institutions (DFIs) in Africa. At the core of its mandate  the DBSA seeks to play a pivotal role in delivering developmental infrastructure in South Africa and the rest of Africa. The strategy of the DBSA is to provide sustainable infrastructure project preparation  finance and implementation support in selected African markets to improve the quality of life of people  in support of economic growth and regional integration.,https://www.weforum.org/organizations/development-bank-of-southern-africa,partnership
DNB,Norway,http://www.dnb.no/,DNB is a financial institution in Norway with operations in retail and corporate banking  life insurance  asset management and capital markets.,https://www.weforum.org/organizations/dnb-asa,partnership
Dogan Group of Companies,Türkiye,http://www.dmg.com.tr/,Founded in 1951  Dogan Group is one of the largest conglomerates in Turkey. It aims to become a regional leader in the service sector. It operates in five sectors with high-growth potential: finance  automotive  construction  tourism and media. It employs over 16 000 people and has more than 6 million customers.,https://www.weforum.org/organizations/dogan-group-of-companies,partnership
Dow,USA,http://www.corporate.dow.com/,Dow’s (NYSE: DOW) ambition is to become the most innovative  customer-centric  inclusive and sustainable materials science company  with a purpose to deliver a sustainable future for the world through its materials science expertise and collaboration with partners. Its portfolio of plastics  industrial intermediates  coatings and silicones businesses delivers a broad range of differentiated science-based products and solutions for customers in high-growth market segments  such as packaging  infrastructure  mobility and consumer care. Dow operates 106 manufacturing sites in 31 countries and employs approximately 35 700 people. The company delivered sales of approximately $39 billion in 2020.,https://www.weforum.org/organizations/the-dow-chemical-company,partnership
DSV,Denmark,http://www.dsv.dk/,DSV provides and manages supply chain solutions for thousands of companies every day. It is committed to being a responsible business partner and an active participant in the global community and aspires to be the most responsive third-party logistics provider building sustainable value chains with economy in mind. DSV Road is a leading road freight operator in Europe  with distribution networks in North America and Africa. DSV Air & Sea offers alternative routings and flexible schedules to suit logistical requirements worldwide.,https://www.weforum.org/organizations/dsv,partnership
DTEK,Ukraine,,DTEK Group is a leading private investor in Ukraine’s energy sector. Created in 2005 to manage the energy business of SCM and currently organized as a holding company with six fully-owned sub-holding companies that are incorporated in the Netherlands  the group has most of its operations and assets in Ukraine. DTEK enterprises generate electricity at solar  wind and thermal power plants  produce coal and natural gas  and trade energy products in Ukrainian and international markets. It also distributes and supplies electricity to customers  offers clients products and solutions to improve energy efficiency  and is developing a network of fast-charging stations.,https://www.weforum.org/organizations/dtek,partnership
Dufry,Switzerland,http://www.dufry.com/,Dufry (SIX: DUFN) is a leading global travel retailer operating over 2 300 duty-free and duty-paid shops in airports  cruise lines  seaports  railway stations and downtown tourist areas  in more than 420 locations in 66 countries on all six continents.,https://www.weforum.org/organizations/dufry-ag,partnership
e&,United Arab Emirates,http://www.etisalat.ae/,e& (formerly Etisalat Group) is one of the world’s leading technology and investment conglomerates. With consolidated net revenue of AED53.3 billion and consolidated net profit of AED9.3 billion for 2021  its high credit ratings reflect the company’s strong balance sheet and proven long-term performance. Founded in Abu Dhabi more than four decades ago as the first telecommunications company in the United Arab Emirates  the group now operates in 16 countries in the Middle East  Asia and Africa. e& provides digital solutions  smart connectivity and next-generation technologies to customer segments through its Telecom  e& life  e& enterprise and e& capital business pillars.,https://www.weforum.org/organizations/emirates-telecommunications-corporation-etisalat,partnership
Ecolab,USA,http://www.ecolab.com/,A trusted partner at nearly 3 million customer locations  Ecolab (ECL) is a global leader in water  hygiene and infection prevention solutions and services that help protect people  planet and business health. With annual sales of $13 billion and more than 47 000 associates  Ecolab delivers comprehensive science-based solutions  data-driven insights and world-class service to advance food safety  help maintain clean and safe environments  optimize water and energy use  and improve operational efficiencies and sustainability for customers in the food  healthcare  hospitality and industrial markets in more than 170 countries.,https://www.weforum.org/organizations/ecolab-inc,partnership
Ecopetrol,Colombia,http://www.ecopetrol.com.co/,Ecopetrol (NYSE: EC) is among the largest companies in Colombia and one of the leading integrated energy groups on the American continent  present in nine countries. Its operations in the hydrocarbon value chain comprise the upstream  midstream  downstream and gas distribution business segments. In 2021  Ecopetrol acquired a majority stake in Interconexión Eléctrica  an energy transmission company in Latin America that also participates in the management of real-time systems and road concessions. As part of its technology  environmental  social and governance agenda  the company is leading initiatives in decarbonization  renewable energy  water management  sustainable territory development and digital transformation.,https://www.weforum.org/organizations/ecopetrol,partnership
Edelman,USA,http://www.edelman.com/,Edelman is a leading global communications marketing firm that partners with many of the worlds largest and emerging businesses and organizations  helping them evolve  promote and protect their brands and reputations. It has 65 offices and more than 5 500 employees worldwide  as well as affiliates in more than 30 cities.,https://www.weforum.org/organizations/edelman,partnership
EDP - Energias de Portugal,Portugal,http://www.edp.pt/,EDP - Energias de Portugal is an electric utilities company  headquartered in Lisbon. It was founded in 1976 through the merger of 14 nationalized electricity companies. It became the first Iberian company to own significant generating and distribution assets on both sides of the border  with a controlling position in Spanish company HC Energía. It is also present in the electricity sectors of Latin America and has a major presence in the United States  Brazil  Africa and Macau  in the generation  distribution and trading businesses. The groups business also includes water  gas  engineering  laboratory testing  vocational training and real estate management.,https://www.weforum.org/organizations/edp-energias-de-portugal,partnership
Egon Zehnder,Switzerland,https://www.egonzehnder.com/,Egon Zehnder acts as an adviser to many of the worlds organizations and is a leading executive search firm with 69 offices in 41 countries. Its clients range from the largest corporations to emerging growth companies  government and regulatory bodies  and major educational and cultural institutions. It works at the highest levels of leadership to create tangible and enduring business impact. Its core services include executive search  board consulting and leadership strategy services.,https://www.weforum.org/organizations/egon-zehnder,partnership
Eletrobras,Brazil,http://www.eletrobras.gov.br/,Eletrobras is a publicly traded government holding company for Brazils electric companies. It transmits and distributes power to 44 million customers and generates more than 40% of Brazils electric supply.,https://www.weforum.org/organizations/eletrobras,partnership
Emirates Global Aluminium,United Arab Emirates,,Emirates Global Aluminium (EGA) is among the world’s largest premium aluminium producers and the biggest industrial company in the United Arab Emirates outside oil and gas. It operates aluminium smelters in Abu Dhabi and Dubai  an alumina refinery in Abu Dhabi  and a bauxite mine and associated export facilities in the Republic of Guinea. It has led the country to become the fifth-largest aluminium producer in the world. Its homegrown technology enables EGA to be cost-competitive and environmentally responsible while meeting customer and societal needs. It is committed to reaching net-zero emissions from operations and the supply chain by 2050.,https://www.weforum.org/organizations/emirates-global-aluminium,partnership
Enel,Italy,http://www.enel.com/,Enel is a multinational energy company and one of the worlds leading global integrated electricity and gas operators. It operates in more than 30 countries on 5 continents  generating energy with a net installed capacity of around 90 GW and distributing electricity throughout a network spanning about 2.2 million kilometres. With nearly 73 million end users worldwide  it has one of the biggest customer bases among its European competitors and is among the largest European utilities by market capitalization and ordinary EBITDA.,https://www.weforum.org/organizations/enel-spa,partnership
ENGIE Group,France,http://www.engie.com/,ENGIE Group is a global reference in low-carbon energy and services. Its ambition is to become a world leader in the zero-carbon transition "as a service" for customers  especially global companies and local authorities. It relies on its key activities (renewable energy  gas  services) to offer competitive turnkey solutions. Its 160 000 employees and its customers  partners and stakeholders constitute a community of imaginative builders committed every day to more harmonious progress. Its 2018 turnover was €60.6 billion. The group is listed on the Paris and Brussels stock exchanges (ENGI) and is represented on the main financial and non-financial indices.,https://www.weforum.org/organizations/engie,partnership
Engro Corporation,Pakistan,http://www.engro.com/,Engro started as a fertiliser manufacturing and marketing company and gradually emerged into the largest diversified conglomerate in Pakistan with Engro Corporation as the holding company. Engro has invested in a diverse portfolio of businesses across the verticals of energy and related infrastructure  agricultural outputs  petrochemicals and telecommunication infrastructure.,https://www.weforum.org/organizations/engro,partnership
Eni,Italy,http://www.eni.com/,Eni is an energy company. Eni supports a just energy transition  with the objective of preserving the planet and promoting efficient and sustainable access to energy for all. Its work is based on passion and innovation  on its strengths and skills  on the equal dignity of each person  recognizing diversity as a key value for human development  and on the responsibility  integrity and transparency of its actions. Eni believes in the value of long-term partnerships with the countries and communities where the company operates  bringing prosperity for all. Eni is active in 68 countries and employs 31 000 people (as of end 2020).,https://www.weforum.org/organizations/eni-spa,partnership
Trafigura,Switzerland,,Founded in 1993  Trafigura is one of the largest physical commodities trading groups in the world. At the heart of global supply  Trafigura connects the world with the vital resources it needs. Through its Oil & Petroleum Products  Metals & Minerals  and Power & Renewables divisions  it deploys infrastructure  skills and a global network to move commodities from where they are plentiful to where they are needed most  forming strong relationships that make supply chains more efficient  secure and sustainable.,https://www.weforum.org/organizations/trafigura,strategic partnership
Envision Group,Peoples Republic of China,Visit the Envision Group website,Envision is a leading digital energy company. It owns one of the world’s largest intelligent internet of things (IoT) operating systems  EnOS  currently managing 100 GW of energy assets globally. Integrating Sonnen  ChargePoint  AutoGrid  Bazefield and other leading technology companies  Envision is building a comprehensive global energy IoT and smart city system. Founded in 2007  Envision is China’s second largest wind turbine company and among the largest in the world. Headquartered in Shanghai  it has regional offices throughout Asia  Europe  and North and South America  and has established global R&D and engineering centres in Denmark  Germany  Singapore and the US.,https://www.weforum.org/organizations/envision-group,partnership
Equinor,Norway,Visit the Equinor website,Equinor is an international energy company with operations in more than 30 countries. The company builds on 40 years of experience in oil and gas production on the Norwegian continental shelf and is committed to accommodating the worlds energy needs in a responsible manner  applying technology and creating innovative business solutions. It is headquartered in Stavanger  Norway  has approximately 23 000 employees worldwide  and is listed on the New York and Oslo stock exchanges.,https://www.weforum.org/organizations/statoil-asa,partnership
Euroclear,Belgium,Visit the Euroclear website,Euroclear is among the world’s largest providers of domestic and cross-border settlement and related services for bond  equity  exchange-traded funds and mutual fund transactions. Euroclear is a capital market infrastructure committed to delivering risk mitigation  automation and efficiency at scale for its global client franchise. The Euroclear group includes Euroclear Bank  Euroclear Belgium  Euroclear Finland  Euroclear France  Euroclear Nederland  Euroclear Sweden  Euroclear UK & International and the fund platform MFEX. The group settled the equivalent of €992 trillion in securities transactions in 2021  representing 295 million domestic and cross-border transactions  and held €37.6 trillion in assets for clients by end 2021.,https://www.weforum.org/organizations/euroclear,partnership
European Bank for Reconstruction and Development (EBRD),United Kingdom,Visit the European Bank for Reconstruction and Development (EBRD) website,The European Bank for Reconstruction and Development (EBRD) was established in 1991 to meet the challenge of an extraordinary moment in Europes history  the collapse of communism in its East. It invests mainly in private enterprises  usually together with commercial partners. It provides project financing for the financial sector and the real economy  both new ventures and investments in existing companies. The EBRD is owned by 65 countries and two intergovernmental institutions – the European Union and the European Investment Bank. It operates in 36 countries. Central & Eastern Europe  Caucasus  Central Asia  Mongolia  Turkey and Southern & Eastern Mediterranean.,https://www.weforum.org/organizations/european-bank-for-reconstruction-and-development-ebrd,partnership
European Investment Bank,Luxembourg,Visit the European Investment Bank website,The European Investment Bank (EIB) is the European Unions long-term finance institution.,https://www.weforum.org/organizations/european-investment-bank-eib,partnership
Exxaro,South Africa,Visit the Exxaro website,Exxaro is a South Africa-based mining group  listed on the Johannesburg Stock Exchange (JSE)  a constituent of the JSEs Top 40 index and one of the best performing constituents of the JSEs Socially Responsible Investment (SRI) index. At 31 December 2011  Exxaro had assets of R37 billion and a market capitalization of R60 billion ($7 billion). Exxaro has a diverse and world-class commodity portfolio in coal and ferroalloys  and growing exposure to iron ore.,https://www.weforum.org/organizations/exxaro,partnership
ExxonMobil,USA,Visit the ExxonMobil website,ExxonMobil  one of the largest publicly traded international energy and petrochemical companies  creates solutions that improve quality of life and meet society’s evolving needs. The corporation’s primary businesses – Upstream  Product Solutions and Low Carbon Solutions – provide products that enable modern life  including energy  chemicals  lubricants  and lower-emissions technologies. ExxonMobil holds an industry-leading portfolio of resources and is one of the largest integrated fuels  lubricants and chemical companies in the world.,https://www.weforum.org/organizations/exxon-mobil-corporation,partnership
First Abu Dhabi Bank,United Arab Emirates,Visit the First Abu Dhabi Bank website,First Abu Dhabi Bank is a major commercial bank in the United Arab Emirates. It provides a full range of services locally and wholesale banking facilities internationally through representation in the major money centres.,https://www.weforum.org/organizations/first-abu-dhabi-bank,partnership
Fortescue Metals Group,Australia,Visit the Fortescue Metals Group website,Fortescue Metals Group is among the worlds largest iron ore producers and explorers  operating in Western Australia. It is engaged in mining iron ore from its Cloudbreak  Christmas Creek and Solomon mine sites; the operation of an integrated mine  rail and port supply chain; and the expansion of iron ore operations. An integral part of the companys policy is its approach to opportunities for Aboriginal people. Fortescue earned $6.9 billion in financial year 2017 and employed 6 250 people.,https://www.weforum.org/organizations/fortescue-metals-group,partnership
Frontera Energy,Colombia,Visit the Frontera Energy website,Frontera Energy is a Colombian company listed on the Toronto Stock Exchange. It is among the largest independent oil and gas exploration and production companies in Colombia. It owns 100% of Meta Petroleum  which operates the Rubiales and Piriri oil fields in Colombias Llanos Basin in association with Ecopetrol  the Colombian national oil company  and Pacific Stratus Energy and Kappa Energy Holdings. It has a robust and growing reserve base and is maximizing future production prospects through its exploration activities.,https://www.weforum.org/organizations/pacific-rubiales-energy,partnership
FTI Consulting,USA,Visit the FTI Consulting website,FTI Consulting is a global business advisory firm dedicated to helping organizations manage change  mitigate risk and resolve disputes: financial  legal  operational  political and regulatory  reputational and transactional. With more than 4 600 employees located in 28 countries  FTI Consulting professionals work closely with clients to anticipate  illuminate and overcome complex business challenges and make the most of opportunities. The company generated $1.81 billion in revenues during fiscal year 2017.,https://www.weforum.org/organizations/fti-consulting-inc,partnership
Fujitsu,Japan,Visit the Fujitsu website,Fujitsu is a provider of internet-based information technology solutions for the global marketplace. It has more than 500 group companies and affiliates worldwide  more than 60 000 systems and services experts  162 000 employees  and operations in some 100 countries.,https://www.weforum.org/organizations/fujitsu-limited,partnership
GMR Infrastructure,India,Visit the GMR Infrastructure website,Founded in 1979  GMR Group is a large infrastructure developer and operator with an international footprint. Its flagship business is energy (including coal mines in India and Indonesia) and it has interests in airports  highways and urban infrastructure  with an asset base of more than $10 billion. It takes a sustainable approach in conducting business  addressing the interests of all its stakeholders – employees  shareholders  customers  suppliers  environment and society.,https://www.weforum.org/organizations/gmr-group,partnership
Greenko,India,Visit the Greenko website,Greenko is a leading renewable energy company replacing fossil fuels with integrated decarbonized energy and grid assets enabling sustainable and affordable energy  with a net installed capacity of 7.5 GW across 15 states in India. The group takes a long-term view of business through a shareholder base that includes sovereign wealth funds GIC (Singaporean sovereign wealth fund) and Abu Dhabi Investment Authority. Greenko seeks to transform into a utility of the future by deploying digitalization  decentralization and decarbonization  thus providing clean  reliable  dispatchable and affordable power generation  contributing to India’s energy security and economic stability to meet deeper decarbonization goals.,https://www.weforum.org/organizations/greenko,partnership
Grupo Salinas,Mexico,Visit the Grupo Salinas website,Grupo Salinas is a group of companies active in financial services  specialized retailing  media  telecommunications and the internet.,https://www.weforum.org/organizations/tv-azteca-sab-de-cv,partnership
Gulf International Bank (GIB),Bahrain,Visit the Gulf International Bank (GIB) website,Gulf International Bank (GIB) is a merchant bank in the Middle East that offers financial services to a wholesale client base and has recently increased its emphasis on project finance  corporate finance and asset management. Its client base includes major private sector corporations  Gulf-based financial institutions  multinational companies active in the region and the governments of the Gulf Cooperation Council (GCC) states. Its main subsidiary is Gulf International Bank UK and it has branches in London  New York  Riyadh and Jeddah  and representative offices in Beirut and Abu Dhabi.,https://www.weforum.org/organizations/gulf-international-bank-bsc-gib,partnership
